;Title;Number of review;Catagory;Reveiw Comment;Popular food;Online Order;n_Online Order
3400;Thai-ish;31;Italian, Pizza;“The pasta was freshly made on premises and perfectly prepared.”;No;No;0
3401;Tartina Italian Restaurant;156;Seafood, Soups;“... husband had Spaghetti both were gre...”;No;No;0
3402;Vincent's Restaurant;2,490;Seafood, Soups;“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”;No;No;0
3403;Benjamin Steakhouse;No;Seafood, Soups;No;No;No;0
3404;Brickyard craft kitchen & beer;88;American;“Eat often, Eat well”;pizza;Yes;1
3405;Indian Road Cafe & Market;44;American, Cafe;“Variety of food with spice and fast...”;Sushi;Yes;1
3406;Kismat Indian Restaurant;22;Indian;“Still The Best”;tacos;Yes;1
3407;Balade - Your Way;16;Lebanese, Middle Eastern;“NYC Sushi”;dumplings;Yes;1
3408;Sushi Kaito;31;Japanese, Seafood;“Excellent Cheese pizza”;tacos;Yes;1
3409;Famous Famiglia;9;Italian, Pizza;“Leave it to Sushi Chef!”;Dumplings;Yes;1
3410;Momoya Soho;106;Japanese, Seafood;“Great Ambiance”;wine bar;Yes;1
3411;Devi;25;Indian;“Filipino food...yam!”;rice;Yes;1
3412;Ugly Kitchen;21;Filipino, Asian;“... to split and we also had a few tacos.”;French toast;Yes;1
3413;La Chula Tacos 7 Ceviches;27;Mexican, Spanish;“Quick and Convenient”;Mortadella;Yes;1
3414;Pret A Manger;73;Fast Food;“Great food, lovely atmosphere.”;sushi;Yes;1
3415;Pasta Lovers - Broadway;207;Italian, Pizza;“Super dumplings!”;sliders;Yes;1
3416;Tim Ho Wan East Village;31;Chinese, Asian;“Awesome Brunch!”;Steak;Yes;1
3417;181 Cabrini;105;American, Bar;“Very nice and great pizza”;No;Yes;1
3418;Petaluma;15;Italian, Pizza;“Beautiful ambiance and amazing drinks!”;No;Yes;1
3419;Veronika;42;Russian;“Beee pichet”;No;Yes;1
3420;Fat Black Pussycat;18;Bar, American;“Best tacos!”;No;Yes;1
3421;Flats Fix;44;Mexican, Latin;“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”;No;No;0
3422;Little Alley;24;Asian, Chinese;“Smell it on the street”;No;No;0
3423;Chirping Chicken;24;Wine Bar, French;“This East Village wine bar and eatery offers a great tasting menu - which is...”;No;No;0
3424;Ruffian Wine Bar and Chef's Table;27;Indian, Asian;“... one not, rice, onion naan & refresh...”;No;No;0
3425;Joy Curry & Tandoor;23;Cafe;“Unique local cafe”;No;No;0
3426;Cafe Panino Mucho Giusto;78;Italian;“Delicious food, noisy ambience”;No;No;0
3427;Spasso;19;Greek, Cafe;“We had some delicious French toast with...”;No;No;0
3428;Greek From Greece;14;Italian;“... hard to find Italian Mortadella here.”;No;No;0
3429;Di Palo's;23;Bar, Pub;“Good food in a comfortable room on the...”;No;No;0
3430;The Independent;20;Ethiopian, African;“Wow!”;No;No;0
3431;Haile Ethiopian cuisine;76;Japanese;“... affordable sushi restaurant afterwa...”;No;No;0
3432;Kuruma Zushi;98;Mexican, Bar;“Good Tex-Mex food with a neighborhood feel”;No;No;0
3433;Southwest NY;55;Pub, Gastropub;“I had the sliders and a green salad with a tasty lemony vinaigrette.”;No;No;0
3434;The Elgin;37;Italian;“Beyond godness”;No;No;0
3435;Milano Market;29;American, Irish;“Really delicious burgers for”;No;No;0
3436;The Storehouse;35;Chinese, Asian;“Yummy but no steamed rice.”;No;No;0
3437;Kung Fu Little Steamed Buns;30;American, Bar;“TGIF After work dinner”;No;No;0
3438;Angel of Harlem;22;Pub, Bar;“Great Place for Music, LFC and the rest...”;No;No;0
3439;11th Street Bar;591;American, Steakhouse;“Superb Steak, really delicious”;No;No;0
3440;Royal 35 Steakhouse;No;American, Steakhouse;No;No;No;0
3441;Royal 35 Steakhouse;591;American, Steakhouse;“Superb Steak, really delicious”;Steak;Yes;1
3442;Mama's Too!;36;Italian, Pizza;“We absolutely loved this pizza.”;pizza;Yes;1
3443;123 Burger Shot Beer;57;American, Bar;“Fun local bar”;pizza;Yes;1
3444;Peep;98;Asian, Thai;“Good”;ribeye;Yes;1
3445;Mamajuana Cafe;72;Latin, Caribbean;“Nice”;steak;Yes;1
3446;Cipriani Le Specialita;46;Italian;“Nice Quick lunch”;Pizza;Yes;1
3447;MERMAID OYSTER BAR TIMES SQUARE;9;American, Seafood;“Best oysters in my life”;paella;Yes;1
3448;Dante at Genuine;16;Italian;“Terrific”;No;Yes;1
3449;Casa Dani;14;Spanish;“Very Good Food, Poor Service”;No;Yes;1
3450;Burrito Loco Restaurant;67;Mexican, Latin;“Worth the stop for the Guacamole Alone”;No;Yes;1
3451;Ray's Real Pizza;75;Pizza;“There is nothing like NYC pizza.”;No;Yes;1
3452;Green Kitchen;77;American, Diner;“Cool Place”;No;Yes;1
3453;Ben & Jack's Steakhouse;87;Bar, American;“The bartender/server suggested the ribeye as well as the special mashed potat...”;No;Yes;1
3454;The Jin;14;Asian, Korean;“Varied Menu”;No;Yes;1
3455;The Winslow Gin House and Eatery;40;American, Bar;“Distinct Spot around Union Square”;No;Yes;1
3456;The Bar at Dream New York;49;American, Bar;“Cute Bar”;No;Yes;1
3457;Football Factory;28;Bar, Pub;“Great footy place !”;No;Yes;1
3458;Frank's Trattoria;35;Italian, Pizza;“What’s Not to Love”;No;Yes;1
3459;Tabernacle Steakhouse;7;Steakhouse, American;“My steak was delectable and cooked to perfection.”;No;Yes;1
3460;Beckett’S Bar & Grill;84;American, Irish;“Great place to host a Christmas Party”;No;No;0
3461;Columbus Gourmet Food;44;American, Pizza;“Fantastic selection”;No;No;0
3462;Sushi Sen-Nin;64;Japanese, Sushi;“Nice place to visit, big space”;No;No;0
3463;Two Hands Tribeca;65;Cafe, Healthy;“Good Brunch Place”;No;No;0
3464;The Taco Shop;27;Mexican, Latin;“Tuesday tacos”;No;No;0
3465;The Marshal;323;American, Pizza;“Quite possibly the best Pizza I ever ate!”;No;No;0
3466;The Library at The Public;58;American;“Pre-Theater Restaurant”;No;No;0
3467;bibi wine bar;19;Wine Bar, American;“An enchanting spot that is perfect for a...”;No;No;0
3468;Subway;109;Fast Food, American;“Grab and go”;No;No;0
3469;Pret A Manger;33;Fast Food;“variety of sandwiches”;No;No;0
3470;Keat's Bar and Restaurant;64;Bar, Pub;“Classic Irish style bar in Manhattan”;No;No;0
3471;Socarrat Paella Bar - Midtown East;191;Mediterranean, European;“Best paella outside of Spain!”;No;No;0
3472;Bocaditos Bistro;22;Spanish;“Fun brunch spot”;No;No;0
3473;Saga;14;American;“Excellent food”;No;No;0
3474;Carne Mare;22;Italian, Steakhouse;“Spectacular view, fantastic service, and...”;No;No;0
3475;Imli;28;Indian;“Great food and service”;No;No;0
3476;Just Salad;25;Healthy, American;“Please come to Central PA!”;No;No;0
3477;Stone Bridge Pizza & Salad;41;Pizza, Italian;“Good, not typical NY slice”;No;No;0
3478;Lupa Osteria Romana;983;Italian, Romana;“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”;carbonara;Yes;1
3479;MIMI;36;French;“Date Night French Restaurant”;Sushi;Yes;1
3480;Virginia's;28;American;“Delicious risotto and go to for great...”;Excellent Coffee;Yes;1
3481;Numero 28 Pizzeria Napoletana;56;Italian, Pizza;“Pretty good wood-fired pizza”;dumplings;Yes;1
3482;375 Chicken 'n Fries;12;American, Fast Food;“Crispy chicken”;sat at the bar;Yes;1
3483;Poke Restaurant;71;Japanese, Sushi;“BYOB Sushi”;vegetarian;Yes;1
3484;Brooklyn Chop House - Times Square;3;Chinese, Steakhouse;“Worth the price”;Mexican Food;Yes;1
3485;Cafe Kabila;27;Mediterranean, Middle Eastern;“Good food, typical New York”;ribeye;Yes;1
3486;Shoo Shoo Nolita;25;American, Cafe;“Hip spot in Nolita”;naan;Yes;1
3487;Guy & Gallard;47;American;“Prompt Take-out or Eat-in Service with...”;chili;Yes;1
3488;Upper East Cafe;25;French, European;“Nice gurl time”;No;Yes;1
3489;Chateau 49;28;American, Bar;“Nice little gem in Midtown East.”;No;Yes;1
3490;Broken Shaker at Freehand New York;14;Japanese, Asian;“Absolutely amazing”;No;Yes;1
3491;Cocoron;21;Cafe;“Great On A Cold Day!”;No;Yes;1
3492;Blue Bottle Coffee;18;Italian;“Excellent Coffee, very clean and very small coffee shop , I recommend it’s an...”;No;Yes;1
3493;T-Swirl Crepe;17;Cafe, American;“A great quality Japanese crepery in...”;No;No;0
3494;Piadina;49;Chinese, Asian;“real italian”;No;No;0
3495;The Doughnut Project;23;Cafe;“Good doughnut”;No;No;0
3496;Tim Ho Wan East Village;207;Bar, Pub;“Super dumplings!”;No;No;0
3497;Cafe 2;42;Mexican, Latin;“Enjoyable afternoon tea break”;No;No;0
3498;Dante West Village;11;Cafe, American;“We sat at the bar as we didn’t have a booking and only had to wait 10 minutes...”;No;No;0
3499;Pulqueria;79;Asian, Korean;“Good food, service not so good”;No;No;0
3500;Sarabeth's at Lord & Taylor;79;Indian;“Healthy and delicious”;No;No;0
3501;Boka;42;Italian, Pizza;“Good Korean food”;No;No;0
3502;Saar Indian Bistro;98;French, European;“We had a party of four and ordered three entrees to share and one vegetarian...”;No;No;0
3503;Famous Famiglia Pizzeria;31;Mexican, Latin;“Great pizza!”;No;No;0
3504;Bistro Pierre Lapin;33;American, Diner;“No Lapin...but a very good menu.”;No;No;0
3505;Lolita's Mexican Restaurant;31;Middle Eastern;“Good Mexican Food”;No;No;0
3506;Ridgeway Dinner;54;Bar, American;“Good food and good service”;No;No;0
3507;Nature Works Restaurant;37;Italian;“Terrific place for healthy carry-out food...”;No;No;0
3508;Ben & Jack's Steakhouse;87;African, Ethiopian;“The bartender/server suggested the ribeye as well as the special mashed potat...”;No;No;0
3509;Raffetto's Pasta;23;American, Wine Bar;“Invisible Store”;No;No;0
3510;Awash Ethiopian Restaurant;77;Indian, Asian;“Tasty Food”;No;No;0
3511;Eli's Table Restaurant;52;Fast Food;“Quiet relaxing dinner”;No;No;0
3512;Sahib;39;Asian, Chinese;“... and the naan and other bread variet...”;No;No;0
3513;Hank's Juicy Beef;22;Asian, Chinese;“Hank is a Gent”;No;No;0
3514;Little Alley;44;Asian, Chinese;“For a main course the sautéed green beans with pork and dried red chili was b...”;No;No;0
3515;Utsav Restaurant;627;Indian, Chinese;“Great food but very chaotic atmosphere”;fondue;Yes;1
3516;Taureau;54;European;“The poace is very chic, the fondue is served over electric heaters in the ver...”;fries;Yes;1
3517;Libertador Parrilla Argentina;119;Steakhouse, Latin;“A nice brunch experience”;ribeye;Yes;1
3518;Bo Ky;71;Chinese, Asian;“So delicious!!!”;Thai;Yes;1
3519;Telio;72;Mediterranean, Greek;“I have been there twice more”;Crab Cakes;Yes;1
3520;Mickey Spillane's;43;Bar, American;“We had pizza and fries also during the...”;Steak;Yes;1
3521;Brickyard craft kitchen & beer;50;American;“Good Cuban food”;gyoza;Yes;1
3522;Sophie's Cuban Cuisine - Midtown East;55;Latin, Cuban;“Good staff”;Shepherds Pie;Yes;1
3523;Adyar Ananda Bhavan;38;Indian, Asian;“Excellent Sushi”;No;Yes;1
3524;Yama;41;Japanese, Sushi;“Nice spot for a rest”;No;Yes;1
3525;Cafe One;34;Cafe;"“Severely overpriced; otherwise ""excellent""”";No;Yes;1
3526;Noi Due Carne;2,490;Italian, Steakhouse;“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”;No;Yes;1
3527;Benjamin Steakhouse;22;Seafood, Soups;“Small neighborly cafe with breakfasts and...”;No;Yes;1
3528;Mila Cafe;24;Cafe;“Great Sushi!”;No;Yes;1
3529;Yuzu;24;Japanese, Sushi;“Pink Brunch”;No;Yes;1
3530;While We Were Young;74;American;“We were looking for a restaurant with both Thai and Chinese food.”;No;No;0
3531;Amaze;32;Japanese, Sushi;“A great Pit stop”;No;No;0
3532;Maman;309;Cafe;“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”;No;No;0
3533;Benjamin Steakhouse Prime;48;Seafood, Soups;“Delicious Mexican food at a fair price in...”;No;No;0
3534;Temerario;50;Mexican;“Best Sea Food Orzo anywhere”;No;No;0
3535;Eros Greek Restuarant;28;Seafood, Mediterranean;“Great food, sparse service”;No;No;0
3536;Farmhouse;39;American, Steakhouse;“Thick sushi”;No;No;0
3537;Miyabi Sushi;41;Japanese, Sushi;“This location is way better than their...”;No;No;0
3538;Pho 87 Vietnam;591;Asian, Vietnamese;“Superb Steak, really delicious”;No;No;0
3539;Royal 35 Steakhouse;106;American, Steakhouse;“Meh.”;No;No;0
3540;PUBLIC Kitchen;35;American;“Great Atmosphere and selection!”;No;No;0
3541;Compagnie des Vins Surnaturels;34;Wine Bar, French;“Excellent find”;No;No;0
3542;ZAVO Restaurant & Lounge;50;Mediterranean, Bar;“Great Cocktails”;No;No;0
3543;Snafu;32;Pub;“Perfect little wine bar”;No;No;0
3544;Bar Catalina;20;Pizza, Bar;“We also had pork and ginger gyoza.”;No;No;0
3545;IZAKAYA E.A.K. Hell's Kitchen;66;Japanese, Asian;“Very good”;No;No;0
3546;Bello Giardino;46;Italian;“The food is very fresh and well priced.”;No;No;0
3547;Oovina;49;Latin, Spanish;“Shepherds Pie was tasty and fresh with little grease.”;No;No;0
3548;Finnegans Wake;88;Irish, Bar;“Good BBQ Food”;No;No;0
3549;BBQ Restaurant;50;Barbecue;“Very solid neighborhood stand-by”;No;No;0
3550;El Paso Taqueria;87;Mexican, Latin;“Great spot in Chinatown!”;No;No;0
3551;Sichuan Hot Pot Cuisine;No;Chinese, Seafood;No;No;No;0
3552;Saar Indian Bistro;98;Indian;“We had a party of four and ordered three entrees to share and one vegetarian...”;vegetarian;Yes;1
3553;Luscious Thai;38;Asian, Thai;“Thai surprise”;pork;Yes;1
3554;Kung Fu Little Steamed Buns Ramen;16;Chinese, Asian;“Authentic Dumplings in NYC”;Dumplings;Yes;1
3555;La Salle Dumpling Room;29;Chinese, Asian;“Started with Xiao Long Bao with pork - excellent.”;pizza;Yes;1
3556;Weather Up;39;Bar, American;“Good drinks”;pizza;Yes;1
3557;Salvo's;45;Italian, Pizza;“A popular place for wonderful pizza.”;dumplings;Yes;1
3558;Little Alley;44;Asian, Chinese;“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”;tuna;Yes;1
3559;Miss Lilys 7a;17;Caribbean;“Great atmosphere, ok food”;bartender;Yes;1
3560;Unregular Pizza;12;Italian, Pizza;“Fantastic pizza … amazing friendly staff”;dumplings;Yes;1
3561;Juban NYC;21;Japanese, Sushi;“Favorite Fashion Friends Dinner”;ribeye;Yes;1
3562;Cafe Viva Gourmet Pizza;30;Italian, Pizza;“Good place for a vegan pizza”;dumplings;Yes;1
3563;Soothr;26;Asian;“... chicken and dumplings, both of whic...”;Steak;Yes;1
3564;Vestry;24;Japanese, Sushi;“The tuna toast !”;No;Yes;1
3565;Haru Sushi;28;American, Bar;“Tasty!”;No;Yes;1
3566;Jake's Saloon;50;American, Irish;“An Irish bar with actual Irish barmen!”;No;Yes;1
3567;The Chelsea Bell;35;American, Diner;“Pleasant”;No;Yes;1
3568;Odessa;58;Bar, Seafood;“Good eating in the neighborhood”;No;Yes;1
3569;Bar Belly;20;American, Caribbean;“Tasty cocktail and happy hour snacks”;No;Yes;1
3570;Miss Mamie's Spoonbread Too;102;Japanese, Asian;“Southern classics”;No;Yes;1
3571;Dishes;43;Asian, Vietnamese;“good lunch”;No;Yes;1
3572;Souen Restaurant;58;American, Bar;“Delicius”;No;Yes;1
3573;The Pho 2;17;Chinese, Asian;“I had to return for another Banh Mi...”;No;Yes;1
3574;Marie Blachere;13;Mexican, Latin;“Delish & authentic”;No;No;0
3575;Haymaker Bar and Kitchen;54;American, Bar;“Bar, bartender, craft beer choices, coc...”;No;No;0
3576;Tim Ho Wan East Village;207;Persian, Mediterranean;“Super dumplings!”;No;No;0
3577;Miscelanea NY;21;Italian, Pizza;“Best mexican place in the city!”;No;No;0
3578;Malachy's Donegal Inn;39;African, Ethiopian;“Time Machine in this Iconic Bar”;No;No;0
3579;Pars Grill House and Bar;58;Bar, American;“Good Persian foods”;No;No;0
3580;Simo;13;Fast Food;“Yummy Pizza Near Whitney Museum”;No;No;0
3581;Awash Ethiopian Restaurant;41;Italian, Pizza;“Good Food, Nice Atmosphere”;No;No;0
3582;Ben & Jack's Steakhouse;87;Italian;“The bartender/server suggested the ribeye as well as the special mashed potat...”;No;No;0
3583;Burger Heights;21;Chinese, Asian;“Juicy burger, crispy fries”;No;No;0
3584;Pasquale Jones;95;Italian, Pizza;“Lovely meal, nice staff”;No;No;0
3585;Provini;29;American, Steakhouse;“Delicious Food”;No;No;0
3586;Canton Lounge;186;American, Steakhouse;“Try a variety of dumplings, soup, sesame chicken and sides like vegetables an...”;No;No;0
3587;Patsy's Pizzeria Chelsea;70;American, Steakhouse;"“Cozy place for a ""stopover""...”";No;No;0
3588;Royal 35 Steakhouse;591;American, Steakhouse;“Superb Steak, really delicious”;No;No;0
3589;Momoya Soho;9;Japanese, Seafood;“Leave it to Sushi Chef!”;Sushi;Yes;1
3590;McKenna's Pub;44;Bar, Pub;“Decent lunch menu in a traditional bar/pub”;bar;Yes;1
3591;Yakiniku Gen;22;Japanese, Asian;“Oustanding food, great atmosphere”;fries;Yes;1
3592;Friedmans;26;American;“I went for the broccoli, the yuca fries and the mac & cheese.”;sushi;Yes;1
3593;Garfunkel's Speakeasy;34;Spanish;“Quaint Speakeasy”;fajitas;Yes;1
3594;VinoTapa;45;Asian, Vietnamese;“Recommended”;French Onion Soup;Yes;1
3595;Em Vietnamese Bistro;5;Irish, Bar;““Best Kept Secret in Dumbo””;BLT;Yes;1
3596;Molloy's Irish Pub;35;Japanese, Asian;“Friendly & good draft beer price”;bartender;Yes;1
3597;Momokawa;35;Chinese, Asian;“Dream Sukiyaki”;No;Yes;1
3598;August Gatherings;75;Japanese, Sushi;“Traditional Cantonese cuisine with modern...”;No;Yes;1
3599;Zutto;75;Sushi, Asian;“Nice food”;No;Yes;1
3600;Sushi on Jones;15;Italian, Pizza;“Kindest staff in NYC (and great sushi)”;No;Yes;1
3601;Ledo Pizza;13;Asian;“Maryland’s Best in NYC”;No;Yes;1
3602;Cafe Frame;31;Bar, Pub;“Lunch bowls super good”;No;Yes;1
3603;The Black Sheep Bar and Restaurant;38;Cafe;“Irish Pub in the heart of the city!”;No;Yes;1
3604;Lady M Confections - NoMad;15;Pizza, Italian;“Yummy Cake Paradise”;No;Yes;1
3605;Garlic New York Pizza Bar;47;Italian, European;“Good Pizza”;No;Yes;1
3606;Al Vicoletto;29;American, Bar;“The True italian cuisine.”;No;Yes;1
3607;Broken Shaker at Freehand New York;14;Fast Food, American;“Absolutely amazing”;No;No;0
3608;Papaya Dog;51;Japanese, Steakhouse;“Dog”;No;No;0
3609;Ikinari Steak;34;Indian;“Excellent steak!”;No;No;0
3610;Bombay's Indian Food;29;Bar, Seafood;“Indian perfection”;No;No;0
3611;Fishmarket Restaurant;37;African;“The most insane and amazing experience”;No;No;0
3612;Safari Restaurant;19;American, Caribbean;“First and not my last Somali restaurant”;No;No;0
3613;Miss Mamie's Spoonbread Too;102;Greek, Wine Bar;“Southern classics”;No;No;0
3614;Milos Wine Bar;24;Mexican, Latin;“Dinner at Milo's”;No;No;0
3615;Barnacho;38;Mexican, Bar;“The chichen fajitas was tasteful and my...”;No;No;0
3616;Empellon Al Pastor;34;Italian;“Breakfast + FIFA World Cup Final”;No;No;0
3617;Sabbia at Birrera;84;Mexican, Latin;“If you can beat the crowds”;No;No;0
3618;El porton;28;French, American;“Cozy Mexican Restaurant”;No;No;0
3619;Quality Bistro;67;Italian, Pizza;“We had French Onion Soup, which was delicious.”;No;No;0
3620;Patsy's Pizzeria - 2nd Ave;80;American, Bar;“Great service, delicious food”;No;No;0
3621;HandCraft Kitchen & Cocktails;19;American, Steakhouse;“The egg Benedict - all the way!”;No;No;0
3622;BLT Prime;32;Italian, Mediterranean;“We had dinner at the BLT Prime.”;No;No;0
3623;Bar Pisellino;16;American, Bar;“Great little find!”;No;No;0
3624;The Copper Still;15;Italian, Mediterranean;“We love the Irish bartender!!”;No;No;0
3625;Allora Fifth Ave;9;Italian, Mediterranean;“Good experience for dinner”;No;No;0
3626;Tabernacle Steakhouse;7;Steakhouse, American;“My steak was delectable and cooked to perfection.”;steak;Yes;1
3627;Hana Sushi;39;British, Central Asian;“We were in a hurry”;Pizza;Yes;1
3628;Sicily;25;Italian;“Very special food”;carbonara;Yes;1
3629;Amuse Bouche Bistro;9;Mediterranean;“Surprise lovely lunch experience”;sliders;Yes;1
3630;Kings County Imperial;16;Chinese, Asian;“Authentic American-Chinese food.”;Fries;Yes;1
3631;ISE Japanese Restaurant;76;Japanese, Asian;“Hidden gem for really good sushi”;French toast;Yes;1
3632;The Marshal;323;American, Pizza;“Quite possibly the best Pizza I ever ate!”;Crab Cakes;Yes;1
3633;La Pecora Bianca;21;Italian;“Great Casual Dining”;Delicious food;Yes;1
3634;Bento Sushi & Noodles;126;Japanese, Fast Food;“Good, Quick Sushi and Noodles just...”;ribeye;No;0
3635;Paris Baguette;19;American, Diner;“Light and easy on the wallet”;No;Yes;1
3636;Westside Restaurant;129;Italian, Pizza;“OK”;No;Yes;1
3637;Joey Pepperoni's Pizza;23;Italian, Romana;“Stopped in for a quick slice of pizza”;No;Yes;1
3638;Lupa Osteria Romana;983;Italian;“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”;No;Yes;1
3639;McQuaids Public House;8;Italian, Pizza;“Authentic Irish restaurant.”;No;Yes;1
3640;Quattro Gatti;46;Chinese, Asian;“A great little neighborhood Italian gem”;No;Yes;1
3641;La Margarita Pizza;34;Italian, Pizza;“Good Pizza”;No;Yes;1
3642;Mala Project;19;Pub, Gastropub;“Tasty and healthy”;No;Yes;1
3643;La Vera Pizzeria;41;African, International;“It is what it is”;No;Yes;1
3644;The Elgin;55;Japanese, Asian;“I had the sliders and a green salad with a tasty lemony vinaigrette.”;No;No;0
3645;EatWith: Lucinda of Astoria;13;American;“Amazing Food and Even More Amazing...”;No;No;0
3646;Hirohisa;38;American, Irish;“Japan at the pure essence”;No;No;0
3647;Amity Hall Downtown;57;American, Cafe;“... we have had in NYC, the standout item is the Amsterdam Fries, amazing.”;No;No;0
3648;Reilly's Plates & Pours;11;Greek, Cafe;“brunch”;No;No;0
3649;The Grey Dog (Flatiron);10;Middle Eastern, Mediterranean;“Lovely lunch”;No;No;0
3650;Greek From Greece;19;Asian, Thai;“We had some delicious French toast with...”;No;No;0
3651;Zooba;17;Bar, American;“Tasty Egyptian food with excellent service”;No;No;0
3652;Copper Throat Thai Cuisine;13;Fast Food;“Excellent and delicious”;No;No;0
3653;The Dakota Bar NYC;80;Seafood, Soups;“A comfortable neighborhood bar”;No;No;0
3654;Sticky's Finger Joint;16;Turkish, Grill;“Delicious juicy chicken with varieties of...”;No;No;0
3655;Le Pain Quotidien;37;Mexican;“something different”;No;No;0
3656;Benjamin Steakhouse Prime;309;Bar, Pub;“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”;No;No;0
3657;Turkuaz;16;Indian, Asian;“Delicious food, excellent service”;No;No;0
3658;Chipotle Mexican Grill;53;Bar, American;“cheap & cheerful - always good”;No;No;0
3659;Hudson Hound;30;Bar, American;“Quaint Place for Locals and Visitors”;No;No;0
3660;Uptown Veg;17;Bar, American;“All Vegan Restaurant”;No;No;0
3661;Anjappar Chettinad South Indian Cuisine;93;Bar, American;“Delicious Dinner”;No;No;0
3662;Ben & Jack's Steakhouse;87;Bar, American;“The bartender/server suggested the ribeye as well as the special mashed potat...”;No;No;0
3663;Lezzet Mediterranean Turkish Restaurant;17;Mediterranean, Turkish;“Very Authentic & Delicious”;Thai;Yes;1
3664;Original Vincent's;86;Italian;“They make their own sauce, available for...”;ribs;Yes;1
3665;Fitzgerald's Pub;44;Bar, Pub;“Irish Sports Bar”;sashimi;Yes;1
3666;Kish Kash;16;Moroccan, Mediterranean;“Lovely little spot west African”;tiramisu;Yes;1
3667;Staghorn Steakhouse;70;Steakhouse, American;“Perfect Late Dinner”;salad;Yes;1
3668;Donburiya;35;Japanese, Asian;“A different Japanese menu”;Thai;Yes;1
3669;Allora Fifth Ave;9;Italian, Mediterranean;“Good experience for dinner”;carbonara;Yes;1
3670;The Pony Bar Ues;26;Bar, Pub;“Perfect place for a Sunday afternoon”;margarita;Yes;1
3671;Lumlum;12;Thai;“Delicious Thai restaurant, a bit expensive”;ribeye;Yes;1
3672;Gotham Pizza;29;Pizza, Italian;“Pizza”;No;Yes;1
3673;Star Diner;51;Diner, American;“Different Restaurant”;No;Yes;1
3674;Salt and Pepper Restaurant;52;American;“Good breakfast place by Penn Station”;No;Yes;1
3675;Miss Mamie's Spoonbread Too;102;American, Caribbean;“Southern classics”;No;Yes;1
3676;Dallas BBQ;152;American, Barbecue;“My daughter had the wings which were huge, my son had ribs and I had the chic...”;No;Yes;1
3677;Harlem BBQ;27;American, Bar;“NYU Graduation Celebration”;No;Yes;1
3678;Jua;10;American, Diner;“A Smoking Good Time”;No;Yes;1
3679;City Diner;44;Cafe, Healthy;“Great breakfast spot!”;No;Yes;1
3680;11th Street Cafe;23;Japanese, Sushi;“Best breakfast in New a York.”;No;Yes;1
3681;Hatsuhana Sushi Restaurant;425;Mexican, Latin;“... notch, including the O-toro sashimi.”;No;Yes;1
3682;Mexico Lindo Restaurant;73;Pub, American;“Good Food 50 Years Shows”;No;Yes;1
3683;Dive 75;25;American, Steakhouse;“Cannot beat the vibe!”;No;No;0
3684;Tad's Steaks;114;Bar, Pub;“Same as I remember”;No;No;0
3685;Boxers NYC;48;Italian;“Great find”;No;No;0
3686;Zucchero e Pomodori;60;Italian, Pizza;“For dessert, we got the tiramisu.”;No;No;0
3687;Salumeria Rosi;400;African, Ethiopian;“Food was quite good and the cheese and meats were an ideal meal with salad.”;No;No;0
3688;Abyssinia Restaurant;29;Asian, Thai;“Flavorful Ethiopian Food”;No;No;0
3689;Top Thai Greenwich;27;Italian;“Greta Thai food in Greenwich!”;No;No;0
3690;Sal Anthony's Restaurant;27;Asian, Vietnamese;“Delicious surprise”;No;No;0
3691;Pho Grand Chinatown;60;Italian;“great sweet & sour soup, shrimp #42”;No;No;0
3692;Max;85;Italian, Romana;“Cozy, Atmospheric Bar and Restaurant in...”;No;No;0
3693;Lupa Osteria Romana;983;Japanese;“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”;No;No;0
3694;Ramen Ishida;12;Indian;“Freaking Amazing!”;No;No;0
3695;Rangoli Exquisite Indian Cuisine;44;Pizza, Italian;“Amazing taste for price, flavors good.”;No;No;0
3696;B-Side;20;Mexican, Latin;“Delicious Pizza but Pricey”;No;No;0
3697;Tequila Chito's Mexican Grill;48;Bar, Pub;“The margarita was good, and the salad fresh and delicious.”;No;No;0
3698;Hibernia Bar & Grill;19;Bar, American;“OK place for a drink. Good location.”;No;No;0
3699;Ben & Jack's Steakhouse;87;Bar, American;“The bartender/server suggested the ribeye as well as the special mashed potat...”;No;No;0
3700;Tabernacle Steakhouse;7;Steakhouse, American;“My steak was delectable and cooked to perfection.”;steak;Yes;1
3701;UN Plaza Grill;32;American, Steakhouse;“Mixed Review - just like the UN”;salad;Yes;1
3702;Isabelle's Osteria;11;Italian, Mediterranean;“Best salad i had!”;pasta;Yes;1
3703;Tamam;8;Italian;“Outstanding”;Sushi;Yes;1
3704;Parm;104;Italian, Pizza;“... heard of this restaurant before but I must say the pasta was truly good.”;Dumplings;Yes;1
3705;La Traviata Pizzeria;34;Japanese, Seafood;“Best value in the hood. Quality cheese!”;enchiladas;Yes;1
3706;Momoya Soho;9;American, Cajun & Creole;“Leave it to Sushi Chef!”;Greek;Yes;1
