series,series_code,country_name,country_code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,Euro area,EMU,14641949.57,14762109.77,15118955,15442696.33,15403603,15093837,14889839.2,14390327.43,14334279,14321096,14384117,14192329,14299604,14205988,14034605,13959546.94,13767112.38,13783880,13622014.81,13602125.43,13567368.05,13570546.91,13636711.95,13653683.9
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,Middle East & North Africa (excluding high income),MNA,7915705.728,8249002.369,8868660.663,9680563.136,10256126.66,10743305.5,11512352.06,12293879.82,13040854.43,13603666.02,14908302.68,15167374.49,15096498.02,15065236.72,14994864.46,14919175.82,14970098.69,14903752.45,14211679.45,14303545.32,14512782.04,14667144.9,14905104.38,15252344.91
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,North America,NAC,10592935.89,10850916.38,11168293.1,11421961.66,11576298.93,11691279.07,11978998.33,12302194.95,12312557.14,12310165.94,12868525.81,13145370.7,13260061.14,13195934,13377675.44,13295960.86,13322752.99,13118108,13206942,13296606,13347451.88,13400873.18,13420603.94,13534633.96
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,OECD members,OED,46766435.47,47204904.87,48296524.72,49272125.88,49665060.35,49715202.15,48128060.49,50172263.64,50428255.59,50651487.53,52353946.57,52267725.87,52698534.97,52685742.85,52896228.94,52877654.89,53009121.39,53084183.67,55534411.39,55624190.96,55596573.32,55831200.77,55717781.55,55368097.77
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,Latin America & Caribbean,LCN,46233004.28,47236505.52,47814934.69,48865502.74,50093448.89,51456983.36,51948730.54,54458721.47,54744157.6,56726538.33,56908963.61,58399926.13,58892901.15,59161891.35,58975238.59,59882481.65,60595799,61302944.08,64336231.96,64120210.29,64428034.17,64207657.16,64138259.6,64210386.81
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,Europe & Central Asia,ECS,81601771,81558051.33,83054894.89,84061328.33,84649631.17,84288653.17,84470871.71,83907740.07,84966418.8,85676672,86526301.44,83863252.21,82439192.49,80841482.26,79341064.63,77702237.18,76699555.21,76390753.44,78338267.16,77816195.71,77768208.79,78607838.17,78867215.13,79703509.74
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,Europe & Central Asia (IDA & IBRD countries),TEC,43102895.26,42868560.38,42984219.06,43043301.97,43732037.81,44053707.2,44735306.13,45245203.85,46247017.64,46813812.6,47218097.61,45060422,43310551.48,42267296.24,41179342.59,39649128.56,38890419.77,38434926.09,39607664.78,39303356.07,39378695.72,40029129.23,40363894.53,41045437.17
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,Central Europe and the Baltics,CEB,11343450.7,11049880.14,11188982.57,11148651,11006942,11005766,11022697.21,10877785,10926084,10974215,10985122,10378541.05,10219599,9907072,9534141,9236725,8875275,8599326,7865953,7626223,7431888,7347827,7291400.25,7302245.444
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,East Asia & Pacific,EAS,97938393.22,99572753.13,101546585.5,103543016.2,109016743.2,115949479,118639128.3,127236788.5,132332660.6,136807536.7,153425923.9,158321902.2,159589546.1,161162055.6,163972682.4,163345292.9,163610301.4,162823426.1,156356584.7,154907737,152356231.8,153812329.2,156315961.5,156873195.1
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,Euro area,EMU,29757968.11,29962022.04,30709323,31528298,31433235,30751729,30405136.95,29404891.19,29283977,29301202,29421989,29015206,29248370,29082297,28724284,28586258.63,28315077.5,28387308,28075573.44,28063322.55,28007210.8,28086032.33,28190565.78,28222914.36
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,Middle East & North Africa (excluding high income),MNA,18864566.07,19368116.87,20580895.34,22299275.55,23212124.3,24085105.83,25490448.31,26931504.68,28267798.5,29310681.42,31814017.65,32262983.35,31972222.12,31767519.82,31366336.86,31366224.05,31517572.82,31382171.94,29925377.18,30133459.4,30534008.93,30855310.86,31301663.17,31988908.16
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,North America,NAC,21566108.34,22179323.45,22922041.01,23514193.98,23595442.04,23982326.5,24363229.99,24808832.96,24960906.2,25117205.52,26422805.53,26772807.15,27033212.09,27189267,27392844.47,27365493.57,27186941.59,26808823,26894959,27062901,27352821.02,27444882.6,27529397.03,27763410.73
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,OECD members,OED,95825513.08,96768433.49,99144480.57,101364879.2,101914824.3,102224656.3,98746196.95,102642430.1,103342150.1,103872777.7,107505622.2,106937461,107666166.6,107941529.2,108174679.9,108149666.6,108195323.2,108499007.2,113246089.9,113429890.7,113534786.2,114222904.2,113730704.6,113013026.8
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,Latin America & Caribbean,LCN,31306547.72,31799058.03,32096061.64,32421861.43,34485715.77,34734266.58,33534333.12,34818715.9,34106040.28,33974342.07,33645468.92,33653941.83,33391198.78,33160102.64,33102955.41,32870732.97,32783447.72,32450094.39,31661884.85,31305424.46,31021704.69,30862923.23,30761028.51,31251003
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,Europe & Central Asia,ECS,27874530.73,27771331.12,27756800.56,27697388.75,27700605.35,28208769.68,27991298.37,27692018.16,27240339.22,26563006.19,25127670.5,25399522.22,24762486.7,24335259.65,24051735.46,23852457.13,23632280.47,23619316.1,23954893.36,24222716.22,24600167.31,24955099.6,25366204.33,25643584.05
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,Europe & Central Asia (IDA & IBRD countries),TEC,14932086.49,14973342.59,14986217.63,14943987.56,15005141.58,15265981.16,15009977.33,14617098.97,14222682.84,13659811.92,12691925.34,12977019.22,12348228.28,11988162.04,11708147.67,11498121.92,11328408.63,11343220.27,11436678.73,11551418.51,11818475.16,12014938.67,12370677.24,12630306.21
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,Central Europe and the Baltics,CEB,3823261.326,3809842.567,3790464.054,3789215,3777266,3759615,3774843,3708282,3573387,3448042,3040067,2934022.152,2800084,2683109,2618821,2517630,2459732,2415790,2459385.818,2486979.233,2528555.461,2572052,2568167,2571875.043
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,East Asia & Pacific,EAS,97991683.28,98335602.54,98699700.74,100142828.1,102019550.7,103952581.5,106165576.5,108079341.8,108142496.6,106797498.4,92381871.13,97044125.24,93974148.19,91527698.8,90781609.15,89790965.53,88617838.92,87847354.65,84865654.43,85010347.88,85995737.59,86820955.66,87416420.75,89250175.93
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,Euro area,EMU,9407204.545,9240932.162,9190804.954,9137989.223,9053529.328,9271938.143,9220321.324,9233293.736,9161570,9047157,8683969,8647406,8711485,8731980,8809917,8818038.213,8802952.839,8780103,8820751.452,8883991.333,8911947.5,8993737.5,8999351.333,8988036.973
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,Middle East & North Africa (excluding high income),MNA,15070247.75,15199142.06,15634598.88,16244672.98,16234614.87,16405995.8,16779797.85,16974927.64,17127243,17190520.81,17077951.43,16994769,17593854.75,17612173.9,17700613.88,17774262.29,17622703.75,17856190.13,19929027.58,20333423.93,20863449.15,21379461.43,21964468.98,22601723.92
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,North America,NAC,12006205.53,12146825.57,12278579.92,12451337.69,12748560,12855662.64,13114951.26,13382632.49,13526435.53,13287156.86,13324330.78,13122051,12992875.98,13046965,13048121.65,13145597.94,13116532.38,12926501.52,13085640,13257317.68,13371265.13,13404605.94,13380310.79,13582888.95
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,OECD members,OED,48104570.48,48098229.79,47992429.21,47884571.21,48031708.17,48250991.76,48382862.62,48720372.06,48837352,48456240,47896881.69,47613416,47346587.98,47211320,47198645,47190241.21,46989449.84,46562685,45630582.45,45722887.75,45877009.38,45825894.48,45866006.86,46334342.93
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,Latin America & Caribbean,LCN,64171081.63,65189816.98,65950966.2,66797591.21,71110157.34,71700593.83,69261606.41,72011336.91,70466759.28,70185914.91,69453531.91,69544906.38,69076443.3,68655898.54,68554831.04,68080199.21,67930757.84,67227372.63,65383165.41,64612070.3,63978006.95,63635187.64,63348600.98,64343016.11
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,Europe & Central Asia,ECS,57310108.04,57079225.67,57056776.88,57006888.52,57092965.14,58199131.45,57773982.23,57209528.87,56284994.98,54879317.56,51864303.65,52417469.75,51109898.14,50176690.36,49585374.35,49173135.26,48674197.68,48624585.82,49200453.59,49759802.65,50548031.48,51365671.46,52255237.48,52821038.32
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,Europe & Central Asia (IDA & IBRD countries),TEC,30748865.54,30836291.39,30831173.71,30781643.65,30926899.38,31514541.9,31040018.44,30275796,29468528.27,28315836.09,26243576.22,26820844.88,25516096.66,24737101.24,24153116.76,23701749.91,23328749.14,23341207.36,23491754.38,23735815.14,24295170.86,24740497.72,25519014.55,26049193.91
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,Central Europe and the Baltics,CEB,7875905.897,7820600.669,7812640,7809599,7775469,7742684,7796121,7668135,7386684,7118397,6273652,6051868.882,5777246,5534494,5402565,5199063,5077475,4984701,5062878.909,5116400.444,5200000.773,5289611,5292234,5299884.965
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,East Asia & Pacific,EAS,207748491.7,207550631,208321368.9,210724127.5,214355369.9,217964721.5,222037930.5,226126645.1,225918913.2,223007446.2,193404761.3,203640288.8,197747002.5,192892041.1,191756711.3,189736433.8,187625607.1,185473272.5,179808178.2,180420282.6,182367724.9,184056620.6,185205081.9,188997453.7
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,Euro area,EMU,19339287,19008060.5,18901249.99,18823549,18707214,19160660,19025288.28,19064890.59,18913657,18658913,17927866,17842327,17985481,18029303,18187345,18205667.35,18154283.55,18096533,18143001.24,18272147.83,18325406.5,18533022.17,18543731.83,18519905.05
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,Middle East & North Africa (excluding high income),MNA,33787978.59,33800270.57,34633641.25,35960606.87,35762196.16,36792960.86,36978378.44,37269832.52,37430066,37399826.76,36719280,36477126,37755236.51,37738482.48,37806449.19,37868303.06,37495627.98,37954475.93,41786417.41,42569405.78,43605209.45,44719440.18,45913942.52,47200853.42
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,North America,NAC,24810158.63,25105485.6,25381170.05,25618928.34,26242750,26500510.18,26795055.88,27100828.3,27372012,27434822.8,27282535.51,26953492,26759269.54,26628922,26757494.17,26881493.78,26784201.74,26565497,26791635,27093808.04,27342023.1,27492267.15,27368825.68,27783111.66
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,OECD members,OED,99140216,99053521.92,98939991.19,98724999.09,99082749.89,99603696.77,99689299.57,100193103.5,100334578,100084647,98636530.4,98125642,97669121.54,97073868,97109897,96996277.35,96477450.55,95760667,93638685.24,93766431.32,94070366.38,94094221.39,94114866.73,95073866.4
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,Latin America & Caribbean,LCN,6047346.709,6377820.121,6620938.65,6743078.227,6989150.114,7223983.97,7359944.081,7700781.658,7687076.256,8168054.765,8282336.228,8565186.1,8802907.639,8960094.868,9060032.346,9404448.038,9483562.706,9445543.142,10122940.72,10205850.76,10268311.09,10445441.85,10506364.47,10780544.67
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,Europe & Central Asia,ECS,13262891.05,13061758.82,12709038,12025632.99,11692868.61,11460246.64,11076447.96,10475440.19,10164495.77,9994698.695,9976500.639,9941475.816,10151575.6,10312313.35,10499031.51,10809446.45,11031801.7,11355629.18,12625445.69,12953929.46,13215814.89,13381216.82,13595881.76,13653316.58
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,Europe & Central Asia (IDA & IBRD countries),TEC,7572477.735,7313024.797,6872130.056,6131663.882,5844597.85,5523028.603,5090789.188,4564765.895,4278242.45,4104761.845,4092871.194,4144032.457,4188702.475,4328150.336,4503018.108,4751184.274,4940687.636,5181631.899,6095661.824,6350656.818,6532263.297,6774655.799,7020310.75,7145670.25
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,Central Europe and the Baltics,CEB,1784457.947,1681053.782,1600798.149,1550860.933,1558083.436,1543281.758,1508599.669,1474162.918,1470000.478,1426804,1359155,1345716,1350646,1350560,1363829,1375371,1411597,1466898,1631298,1626703.582,1613077.865,1592648,1625608,1574714.47
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,East Asia & Pacific,EAS,13780921.18,14802138.98,15957456.91,16798597.99,17307612.5,17597029.01,17559342.02,17588261.59,17120870.23,16716208.95,15460474.26,15990806.64,16054914.78,16609318.34,17322506.65,18037379.14,18862471.93,20036597.55,27806593.7,28680704.67,29941794.22,31099525.66,32201371.12,32213831.87
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,Euro area,EMU,4647664.438,4658064.656,4664761.145,4683375.323,4581588.349,4620680.435,4640966.756,4568692.522,4535880.676,4547940.283,4622133.947,4663458.184,4740348.646,4751338.952,4744356.841,4752480.156,4764927.865,4798988.808,5012803,4994283.5,4976874,4937013.5,4903428.5,4857410.879
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,Middle East & North Africa (excluding high income),MNA,668368.6099,685441.2098,669937.4868,672528.7877,693401.3627,735979.0593,783807.9817,845466.7712,824799,880202.7353,1008606.638,1073247.003,1164746.386,1283300.378,1304153.013,1385111.685,1542265.771,1611696.388,1909043.494,2000261.358,2067749.346,2146162.438,2200598.367,2309818.812
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,North America,NAC,3741605.678,3867846.722,3976765.705,4082027.146,4171234.61,4352345.144,4401308.486,4315961.759,4197411.695,4151232.449,4015386.248,4020661.914,4082737.276,4150740.368,4209122.137,4229933.14,4270010.358,4314099.475,4421736.591,4318033.073,4350007.29,4416754.043,4394532.585,4326682.681
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,OECD members,OED,13176948.24,13412027.03,13621109.54,13890466.79,14059934.12,14432692.01,14614721.66,15143112.83,15123190.7,15116827.64,15064068.62,15042928.7,15507500.61,15825924.33,16068469.58,16292084.3,16406447.72,16980530.94,17952962.03,18041613.73,18307327.38,18441742.42,18494871.73,18068761.17
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,Latin America & Caribbean,LCN,12186682.58,12859055.35,13375589.32,13626594.28,14106059.62,14573613.32,14855689.66,15555456.29,15532386.53,16516743.57,16796845.99,17366839.84,17867031.28,18172734,18380380.94,19061983.16,19305117.86,19148102.83,20540967.53,20714856.07,20842396.32,21199681.65,21318021.35,21876435.85
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,Europe & Central Asia,ECS,27704100.65,27216864.73,26554823.54,25135548.95,24462402.02,23940917.69,23075431.38,21782904.6,21065254.36,20668569.85,20608355.21,20522648.94,20955410.71,21270799.29,21650867.63,22275737.35,22753668.33,23413210.75,26077114.32,26755695.53,27336091,27696453.86,28131171.17,28244300.26
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,Europe & Central Asia (IDA & IBRD countries),TEC,16038383.12,15504223.74,14598560.76,13039981.59,12413102.77,11688154.9,10758663.06,9610507.571,8954356.974,8546728,8496801.607,8579635.876,8678787.911,8961861.29,9316540.392,9800814.541,10205049.96,10701987.94,12620572.71,13124402.71,13561632.61,14076581.99,14574963.1,14828206.77
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,Central Europe and the Baltics,CEB,3659382,3374006.261,3266548.481,3176472.195,3196319,3176335,3115732,3037137,3016368,2935288,2794438,2773889,2783144,2782371,2812528,2833655,2909549,3022477,3366822,3364006.521,3339863.671,3298660,3358238,3253207.2
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,East Asia & Pacific,EAS,28552406.03,30947856.51,33413091.74,35225737.49,36390125.46,37026974.23,37062308.47,36992271.44,36253918.35,35488670.28,33025390.52,34138181.27,34414117.42,35833700.91,37433260.43,38780994.92,40521256.54,43050405.63,59172364.63,61196340.74,63931199.84,66239007.12,68454453.8,68392784.71
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,Euro area,EMU,9529990.123,9545371.009,9570930.15,9621815,9463259,9562464,9568622.19,9427518.001,9352232.085,9368705.68,9524298.696,9608543.978,9774381.763,9797563.935,9780768.666,9798966.29,9826745.939,9901289.358,10333579,10284534,10258897.5,10178697.83,10109302.5,10014496.6
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,Middle East & North Africa (excluding high income),MNA,1691546.227,1745502.027,1698759.753,1705862.262,1744670.315,1825032.37,1920344.174,2046926.198,1961793,2052753.354,2232319.898,2351491.601,2530757.058,2760971.904,2780970.621,2986245.801,3277066.172,3470660.874,4005928.269,4209346.239,4307010.925,4468289.53,4563884.024,4776287.28
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,North America,NAC,7773877.534,8050885.132,8293873.36,8530045.721,8734223.568,8981295.33,9089852.163,8922574.614,8684823.157,8596573.046,8336645.733,8354838.075,8491254.744,8585584.233,8659035.404,8654792.253,8689807.085,8732587.23,9011439.096,8910243.153,8915901.643,9011529.677,8926259.006,8788458.803
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,OECD members,OED,27039420.75,27459378.91,27992810.4,28585083.28,29001870.63,29663951.25,30018344.44,31095857.6,31052347.79,31042030.2,30968417.8,30932480.46,31897907.76,32473778.61,32931924.24,33345217.15,33534508.06,34697476.91,36774804.23,37100676.3,37562681.3,37787417.56,37853752.73,36986516.74
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,Latin America & Caribbean,LCN,15.42944,14.81531,14.10527,13.17161,12.42395,11.71847,10.5117,11.29592,8.47136,8.60616,8.22178,8.54802,8.54109,8.90415,9.2831,9.7352,9.75089,10.15036,11.705,12.11935,12.36059,12.40796,12.63508,12.62963
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,Europe & Central Asia,ECS,23.01448,22.88235,22.99177,23.37622,23.23924,23.32573,22.67893,19.59669,19.57636,18.22801,18.34473,20.73842,21.32073,20.81647,21.24735,21.33282,21.56915,22.23573,23.48917,23.38456,23.29814,23.02844,22.66792,22.58695
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,17.89329,17.39254,17.03285,16.67007,16.82924,16.92354,16.88161,15.92739,15.38219,15.07934,14.957,15.59293,16.07841,16.68992,17.26165,17.74848,18.61789,19.614,20.78364,21.25769,20.79482,19.94078,19.62985,19.48661
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,Central Europe and the Baltics,CEB,39.26472,37.66132,37.61401,37.9878,39.09251,38.93658,37.93935,33.40303,32.58249,31.4228,27.59603,27.05027,27.06106,27.21636,27.76241,28.31078,28.83781,29.47073,28.29123,28.09068,27.59958,27.55543,28.45622,28.50428
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,East Asia & Pacific,EAS,12.10896,12.23417,12.5862,13.29396,13.84252,14.06614,14.13085,14.22241,14.38818,13.52078,11.34358,11.87515,12.43392,13.3919,14.46952,15.73902,16.43584,16.98587,17.49484,16.39903,16.08331,16.07603,16.04258,15.68137
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,Euro area,EMU,30.16557,30.36891,30.13095,31.24022,30.98203,31.37376,30.28157,25.60474,25.38827,21.81652,22.44615,27.28039,27.73482,26.2451,26.44022,26.76429,26.31659,26.52739,24.70942,24.46416,24.4491,24.45799,24.46279,24.47973
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,Middle East & North Africa (excluding high income),MNA,10.77389,10.55047,11.81295,12.46378,12.09263,12.02399,12.35977,12.68171,12.81322,13.1568,13.48164,13.88416,13.31232,12.70985,11.62852,11.16976,10.36773,10.40762,12.03352,11.9747,12.08044,12.19529,12.34471,12.36097
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,North America,NAC,0.00034,0.00029,0.00024,0.0002,0.00017,0.00014,0.00011,0.02942,0.05712,0.08533,0.16504,0.1914,0.21829,0.24703,0.27501,0.30404,0.33259,0.35902,0.45902,0.45569,0.4571,0.46784,0.44519,0.44145
Share of all students in secondary education enrolled in vocational programmes (%),SE.SEC.ENRL.VO.ZS,OECD members,OED,19.05107,19.18606,19.65467,20.13724,20.30985,20.38475,19.93516,17.50165,17.45934,16.20895,15.28448,16.51689,16.2377,15.52046,15.59358,15.5858,15.5428,15.88062,17.84009,17.85927,17.8842,17.82038,17.41819,17.47317
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,Latin America & Caribbean,LCN,84.57056,85.18469,85.89473,86.82839,87.57605,88.28153,89.4883,88.70408,91.52864,91.39384,91.77822,91.45198,91.45891,91.09585,90.7169,90.2648,90.24911,89.84964,88.295,87.88065,87.63941,87.59204,87.36492,87.37037
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,Europe & Central Asia,ECS,76.98552,77.11765,77.00823,76.62378,76.76076,76.67427,77.32107,80.40331,80.42364,81.77199,81.65527,79.26158,78.67927,79.18353,78.75265,78.66718,78.43085,77.76427,76.51083,76.61544,76.70186,76.97156,77.33208,77.41305
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,Europe & Central Asia (IDA & IBRD countries),TEC,82.10671,82.60746,82.96715,83.32993,83.17076,83.07646,83.11839,84.07261,84.61781,84.92066,85.043,84.40707,83.92159,83.31008,82.73835,82.25152,81.38211,80.386,79.21636,78.74231,79.20518,80.05922,80.37015,80.51339
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,Central Europe and the Baltics,CEB,60.73528,62.33868,62.38599,62.0122,60.90749,61.06342,62.06065,66.59697,67.41751,68.5772,72.40397,72.94973,72.93894,72.78364,72.23759,71.68922,71.16219,70.52927,71.70877,71.90932,72.40042,72.44457,71.54378,71.49572
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,East Asia & Pacific,EAS,87.89104,87.76583,87.4138,86.70604,86.15748,85.93386,85.86915,85.77759,85.61182,86.47922,88.65642,88.12485,87.56608,86.6081,85.53048,84.26098,83.56416,83.01413,82.50516,83.60097,83.91669,83.92397,83.95742,84.31863
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,Euro area,EMU,69.83443,69.63109,69.86905,68.75978,69.01797,68.62624,69.71843,74.39526,74.61173,78.18348,77.55385,72.71961,72.26518,73.7549,73.55978,73.23571,73.68341,73.47261,75.29058,75.53584,75.5509,75.54201,75.53721,75.52027
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,Middle East & North Africa (excluding high income),MNA,89.22611,89.44953,88.18705,87.53622,87.90737,87.97601,87.64023,87.31829,87.18678,86.8432,86.51836,86.11584,86.68768,87.29015,88.37148,88.83024,89.63227,89.59238,87.96648,88.0253,87.91956,87.80471,87.65529,87.63903
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,North America,NAC,99.99966,99.99971,99.99976,99.9998,99.99983,99.99986,99.99989,99.97058,99.94288,99.91467,99.83496,99.8086,99.78171,99.75297,99.72499,99.69596,99.66741,99.64098,99.54098,99.54431,99.5429,99.53216,99.55481,99.55855
Share of all students in secondary education enrolled in general programmes (%),UIS.GTVP.23.GPV,OECD members,OED,80.94893,80.81394,80.34533,79.86276,79.69015,79.61525,80.06484,82.49835,82.54066,83.79105,84.71552,83.48311,83.7623,84.47954,84.40642,84.4142,84.4572,84.11938,82.15991,82.14073,82.1158,82.17962,82.58181,82.52683
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,Latin America & Caribbean,LCN,6.41815,6.45155,6.468,6.44272,6.45104,6.47479,6.49912,6.46488,6.50273,6.44423,6.29249,6.21419,6.18618,6.17176,6.18712,6.2168,6.22692,6.18809,6.20557,6.15896,6.1661,6.155,6.15021,6.1645
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,Europe & Central Asia,ECS,4.46987,4.43024,4.41136,4.39806,4.41324,4.52741,4.55268,4.62699,4.66185,4.69235,4.79297,4.83753,4.87886,4.86597,4.87611,4.89206,4.8774,4.88729,4.78636,4.78138,4.76389,4.74273,4.74277,4.72257
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,Europe & Central Asia (IDA & IBRD countries),TEC,4.00328,3.97134,3.93373,3.90167,3.91819,4.02656,4.02348,4.06143,4.10801,4.13575,4.33044,4.37423,4.41187,4.37203,4.37219,4.37679,4.36223,4.38743,4.2306,4.22472,4.20946,4.1785,4.19897,4.18111
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,Central Europe and the Baltics,CEB,4.58678,4.59824,4.62405,4.6333,4.63081,4.66074,4.78989,4.84682,4.84516,4.86744,4.8313,4.8552,4.81259,4.7874,4.8501,4.8342,4.86418,4.88294,5.00196,5.03555,5.00257,4.97935,4.91588,4.91911
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,East Asia & Pacific,EAS,6.13858,6.0881,6.0034,5.91253,5.81679,5.72192,5.63505,5.58679,5.68111,5.77442,5.98855,6.04079,6.08265,5.98276,6.02346,6.01786,6.01339,6.00368,5.94179,5.95727,6.00464,6.03772,6.04803,6.11825
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,Euro area,EMU,5.02638,4.95707,4.95449,4.96424,4.97371,5.12347,5.14991,5.23776,5.21515,5.21898,5.16644,5.17166,5.2306,5.25817,5.30098,5.31108,5.30116,5.29053,5.25997,5.2655,5.25125,5.26693,5.2521,5.23794
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,Middle East & North Africa (excluding high income),MNA,5.23626,5.12634,5.10937,5.2071,5.0999,5.1999,5.19538,5.23048,5.26321,5.30943,5.40676,5.41942,5.66514,5.70219,5.73948,5.76808,5.71453,5.75535,5.98867,6.00544,6.04112,6.07215,6.09202,6.09904
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,North America,NAC,6.32289,6.28237,6.24061,6.19271,6.24508,6.21899,6.179,6.13904,6.11673,6.05068,6.04242,6.03998,6.06793,6.09655,6.14979,6.15761,6.10621,6.00606,5.98836,6.03194,6.07705,6.10181,6.07126,6.07124
"School life expectancy, primary, both sexes (years)",UIS.SLE.1,OECD members,OED,5.87184,5.85403,5.83339,5.80904,5.82499,5.85988,5.87161,5.90106,5.89756,5.87876,5.85153,5.86414,5.8821,5.88864,5.92864,5.9453,5.93031,5.8963,5.78938,5.77699,5.77438,5.74907,5.72957,5.7268
"School life expectancy, primary, female (years)",UIS.SLE.1.F,Latin America & Caribbean,LCN,6.30607,6.34378,6.35252,6.31887,6.33024,6.35502,6.38115,6.34685,6.40159,6.34026,6.20007,6.12967,6.09262,6.08466,6.10453,6.11846,6.15716,6.107,6.14212,6.09704,6.11932,6.0961,6.10157,6.11657
"School life expectancy, primary, female (years)",UIS.SLE.1.F,Europe & Central Asia,ECS,4.43609,4.40023,4.38334,4.36676,4.37753,4.48616,4.51048,4.58068,4.61696,4.64894,4.75868,4.80405,4.84504,4.83714,4.85116,4.86738,4.85803,4.87072,4.78259,4.77758,4.76094,4.73364,4.73091,4.71172
